"","chart_position","title","artist","year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","explicit","popularity","genre1","genre2","genre3","genre4","genre5"
"248",49,"Home","Phillip Phillips",2012,0.606,0.826,0,-6.04,1,0.0307,0.0256,0,0.117,0.322,121,"4rsW3WCZBGwhHfJWuHRwyT",210173,"FALSE","67","folk-pop","modern rock","neo mellow","pop rock","folk-pop"
"249",50,"Without You","David Guetta Usher",2012,0.608,0.614,2,-3.727,1,0.0285,0.227,0,0.157,0.402,128,"1tAutlhI9FwnKn7fVgmd5P",208133,"FALSE","63","big room","dance pop","edm","pop","pop dance"
"250",51,"Ass Back Home","Gym Class Heroes Neon Hitch",2012,0.716,0.838,10,-4.289,1,0.0513,0.134,0,0.148,0.646,130,"3bfqkspKABT4pPicm6wC9F",222213,"TRUE","63","dance pop","pop rap","dance pop","pop rap","dance pop"
"251",52,"Wanted","Hunter Hayes",2012,0.421,0.476,0,-7.692,1,0.0298,0.268,0,0.0816,0.3,170,"0p1BcEcYVO3uk4KDf3gzkY",228840,"FALSE","69","contemporary country","country","country road","modern country rock","neo mellow"
"252",53,"Drunk On You","Luke Bryan",2012,0.558,0.872,9,-4.401,1,0.0449,0.178,0,0.173,0.472,144,"3b7CDTKB0SRTmQ6ytYi5vZ",213547,"FALSE","62","contemporary country","country","country road","contemporary country","country"
"253",54,"No Lie","2 Chainz Drake",2012,0.634,0.665,6,-5.984,0,0.176,0.0172,0,0.365,0.611,131,"6j9iyrrmqWlQZ5SD1hSTaq",237827,"TRUE","61","atl hip hop","gangster rap","hip hop","pop rap","rap"
"254",55,"Want U Back","Cher Lloyd",2012,0.694,0.891,9,-2.94,1,0.0949,0.0562,0,0.561,0.563,98,"6E11E0lT5Zy7yb6iT3y8DN",214573,"FALSE","66","dance pop","electropop","pop","pop dance","post-teen pop"
"255",56,"Don't Wake Me Up","Chris Brown",2012,0.602,0.691,7,-5.197,0,0.051,0.0548,0,0.144,0.206,128,"18VfHIPaCo0s6FTi1Fnp6T",222307,"FALSE","63","dance pop","pop","pop rap","r&b","rap"
"256",57,"Dance (A$$)","Big Sean Nicki Minaj",2012,0.787,0.73,11,-6.788,0,0.35,0.0276,0.0016,0.0828,0.739,160,"3ZAMtgYJFoHwJjFkhkXqKr",220293,"TRUE","64","detroit hip hop","hip hop","pop rap","rap","southern hip hop"
"257",58,"Springsteen","Eric Church",2012,0.692,0.809,2,-5.935,1,0.0255,0.1,1e-04,0.185,0.927,104,"05ZACkzW8YbRq3eFgIfSNB",263387,"FALSE","72","contemporary country","country","country road","modern country rock","contemporary country"
"258",59,"Brokenhearted","Karmin",2012,0.765,0.765,1,-2.732,0,0.0585,0.0076,0,0.0527,0.886,120,"4urcG6Nfubqsuqy3juMjBi",227147,"FALSE","63","dance pop","electropop","pop dance","post-teen pop","viral pop"
"259",60,"Not Over You","Gavin DeGraw",2012,0.63,0.894,10,-4.592,1,0.0544,0.255,0,0.181,0.364,142,"6j7hih15xG2cdYwIJnQXsq",218520,"FALSE","70","acoustic pop","neo mellow","pop","pop rock","acoustic pop"
"260",61,"Stereo Hearts","Gym Class Heroes Adam Levine",2012,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,90,"0qOnSQQF0yzuPWsXrQ9paz",210960,"FALSE","82","dance pop","pop rap","dance pop","pop rap","dance pop"
"261",62,"Back In Time","Pitbull",2012,0.729,0.911,0,-4.5,1,0.045,0.0021,0,0.295,0.74,127,"3eQlGeyuSibgAGPEJugaDW",207760,"FALSE","53","dance pop","latin","miami hip hop","pop","pop dance"
"262",63,"Work Out","J. Cole",2012,0.831,0.427,2,-6.903,1,0.106,0.0531,0,0.307,0.216,93,"2wAJTrFhCnQyNSD3oUgTZO",235320,"TRUE","79","conscious hip hop","hip hop","north carolina hip hop","rap","conscious hip hop"
"263",64,"Rumour Has It","Adele",2012,0.612,0.749,0,-5.014,1,0.0446,0.615,0,0.167,0.574,120,"2A73XBDBQgmdXO8VsXPWIs",223267,"FALSE","64","british soul","pop","pop soul","uk pop","british soul"
"264",65,"Let's Go","Calvin Harris Ne-Yo",2012,0.71,0.882,4,-2.932,0,0.0595,0.0078,0.0077,0.294,0.875,128,"4wkQmYpAaMe41Rc3sYZ7Vz",232800,"FALSE","66","dance pop","edm","electro house","house","pop"
"265",66,"Good Girl","Carrie Underwood",2012,0.617,0.839,0,-2.849,0,0.0655,0.0286,0,0.19,0.741,129,"20DfkHC5grnKNJCzZQB6KC",205560,"FALSE","62","contemporary country","country","country dawn","country road","dance pop"
"266",67,"Pontoon","Little Big Town",2012,0.721,0.819,9,-5.715,1,0.0269,0.413,0,0.196,0.867,96,"2Gy3XMLbBxACZ4tXdFRGr7",212320,"FALSE","64","contemporary country","country","country dawn","country road","contemporary country"
"267",68,"Ho Hey","The Lumineers",2012,0.685,0.466,0,-9.074,1,0.0304,0.794,0,0.0915,0.353,80,"0W4Kpfp1w2xkY3PrV714B7",163133,"FALSE","71","folk-pop","modern rock","pop","stomp and holler","folk-pop"
"268",69,"Paradise","Coldplay",2012,0.449,0.585,5,-6.761,1,0.0268,0.0509,1e-04,0.0833,0.212,140,"6nek1Nin9q48AVZcWs9e9D",278719,"FALSE","80","permanent wave","pop","permanent wave","pop","permanent wave"
"269",70,"Blown Away","Carrie Underwood",2012,0.531,0.843,9,-2.569,0,0.0429,0.0909,0,0.0283,0.392,137,"0vFMQi8ZnOM2y8cuReZTZ2",240133,"FALSE","63","contemporary country","country","country dawn","country road","dance pop"
"270",71,"Rolling In The Deep","Adele",2012,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,105,"1c8gk2PeTE04A1pIDH9YMk",228093,"TRUE","76","british soul","pop","pop soul","uk pop","british soul"
"271",72,"Climax","Usher",2012,0.647,0.478,8,-8.837,1,0.0782,0.547,0,0.156,0.333,136,"5pyVqlqThcxI7tPDjHIzPh",232907,"FALSE","61","atl hip hop","dance pop","pop","r&b","south carolina hip hop"
"272",73,"Work Hard, Play Hard","Wiz Khalifa",2012,0.787,0.666,11,-4.475,1,0.0485,0.0409,0,0.296,0.485,140,"1ms5tNNdPouTtcD2oVF9Oz",219027,"TRUE","63","hip hop","pittsburgh rap","pop rap","rap","southern hip hop"
"273",74,"Let Me Love You (Until You Learn To Love Yourself)","Ne-Yo",2012,0.658,0.677,5,-6.628,1,0.0393,0.248,0,0.368,0.248,125,"4kte3OcW800TPvOVgrLLj8",251627,"FALSE","69","dance pop","pop","pop rap","r&b","urban contemporary"
"274",75,"Pound The Alarm","Nicki Minaj",2012,0.728,0.858,9,-3.686,1,0.0609,0.0403,0,0.0241,0.591,125,"0LohatbcUXRauoeMlR1jnS",205640,"TRUE","61","dance pop","hip pop","pop","pop dance","pop rap"
"275",76,"Come Over","Kenny Chesney",2012,0.466,0.704,1,-7.169,1,0.0353,0.1,0,0.0744,0.481,176,"6BCrbWBpb8d6KWmEqZ41tr",248427,"FALSE","57","contemporary country","country","country road","contemporary country","country"
"276",77,"Heart Attack","Trey Songz",2012,0.608,0.863,11,-4.87,1,0.131,0.0593,0,0.228,0.476,150,"25CA8QVJQrh5R05UUCaODM",233147,"TRUE","55","dance pop","pop","r&b","urban contemporary","dance pop"
"277",78,"Drank In My Cup","Kirko Bangz",2012,0.451,0.632,8,-7.98,0,0.297,0.0114,0,0.198,0.234,133,"3m8CQnnfJJp4eQMWWl3zay",232160,"TRUE","63","dirty south rap","pop r&b","pop rap","rap","southern hip hop"
"278",79,"Birthday Cake","Rihanna Chris Brown",2012,0.856,0.592,10,-5.188,0,0.421,0.264,0,0.577,0.163,160,"6oqi6ag3E9gbxio7Jd3RjS",147000,"FALSE","4","parody","parody","parody","parody","parody"
"279",80,"So Good","B.o.B",2012,0.66,0.9,7,-5.02,1,0.14,0.0403,0,0.219,0.591,86,"28GUjBGqZVcAV4PHSYzkj2",213253,"FALSE","64","atl hip hop","dance pop","hip hop","pop","pop dance"
"280",81,"50 Ways To Say Goodbye","Train",2012,0.591,0.935,6,-2.664,1,0.0478,3e-04,3e-04,0.142,0.736,140,"2NniAhAtkRACaMeYt48xlD",247947,"FALSE","66","dance pop","neo mellow","pop","pop rock","dance pop"
"281",82,"Red Solo Cup","Toby Keith",2012,0.535,0.56,4,-6.586,1,0.0901,0.287,0,0.209,0.785,164,"4YKAOXyqkKZ5gOZR0AmVMN",223387,"FALSE","65","contemporary country","country","country road","oklahoma country","contemporary country"
"282",83,"Love You Like A Love Song","Selena Gomez  The Scene",2012,0.858,0.678,1,-3.87,0,0.0469,0.0761,0,0.0741,0.922,117,"0laYHRpNTS6i8FXdupHkJ4",188453,"FALSE","77","dance pop","electropop","pop","pop dance","pop rap"
"283",84,"Turn Up The Music","Chris Brown",2012,0.594,0.841,1,-5.792,1,0.102,2e-04,0,0.156,0.643,130,"1RMRkCn07y2xtBip9DzwmC",227973,"FALSE","65","dance pop","pop","pop rap","r&b","rap"
"284",85,"Die Young","Ke$ha",2012,0.711,0.7,1,-4.805,0,0.046,0.005,1e-04,0.215,0.801,128,"7EQGXaVSyEDsCWKmUcfpLk",211920,"FALSE","77","dance pop","electropop","pop","pop dance","post-teen pop"
"285",86,"5 O'Clock","T-Pain Wiz Khalifa  Lily Allen",2012,0.4,0.882,7,-1.958,0,0.334,0.168,0,0.124,0.385,167,"6j236RwzFFj4wqH2tWJNBD",281533,"TRUE","58","dance pop","hip hop","pop","pop rap","r&b"
"286",87,"A Thousand Years","Christina Perri",2012,0.421,0.407,10,-7.445,1,0.0267,0.309,0.001,0.11,0.161,139,"6lanRgr6wXibZr8KgzXxBl",285120,"FALSE","80","dance pop","neo mellow","pop","pop rock","post-teen pop"
"287",88,"Take A Little Ride","Jason Aldean",2012,0.472,0.866,2,-3.771,1,0.0413,0.044,0,0.213,0.775,164,"2o5mwv7hvas1jdUg14Nihv",187613,"FALSE","59","contemporary country","country","country road","contemporary country","country"
"288",89,"You Da One","Rihanna",2012,0.702,0.715,5,-5.377,0,0.0425,0.503,0,0.126,0.863,127,"3Yt9lRtS5V4nbJnwcgFgvC",200013,"TRUE","66","barbadian pop","dance pop","pop","pop dance","post-teen pop"
"289",90,"We Run The Night","Havana Brown Pitbull",2012,0.697,0.861,9,-4.389,0,0.144,0.0048,0,0.41,0.703,127,"0mtPNQl5vePVwiI9Vykp7L",228200,"TRUE","54","australian dance","australian pop","australian dance","australian pop","australian dance"
"290",91,"It's Time","Imagine Dragons",2012,0.656,0.884,2,-4.748,1,0.0372,0.0162,0,0.145,0.86,105,"6BtmXhTJMM9sBTHeYYASGz",237987,"FALSE","67","modern rock","rock","modern rock","rock","modern rock"
"291",92,"Cashin' Out","Ca$h Out",2012,0.831,0.665,1,-3.627,0,0.0711,0.149,0,0.0636,0.663,130,"1POAx4NMLOBPVKZUSsBh92",238760,"TRUE","57","atl hip hop","deep southern trap","rap","southern hip hop","trap"
"292",93,"I Don't Want This Night To End","Luke Bryan",2012,0.616,0.728,9,-4.02,0,0.0278,0.0275,0,0.228,0.375,112,"0cV4xwUA4ue2deqq4CZFko",219973,"FALSE","65","contemporary country","country","country road","contemporary country","country"
"293",94,"Diamonds","Rihanna",2012,0.564,0.71,11,-4.92,0,0.0461,0.0013,0,0.109,0.393,92,"1z9kQ14XBSN0r2v6fx4IdG",225147,"FALSE","67","barbadian pop","dance pop","pop","pop dance","post-teen pop"
"294",95,"Hard To Love","Lee Brice",2012,0.638,0.722,9,-6.177,1,0.0332,0.0119,0.0081,0.189,0.469,103,"6E9V9TRlVOLjenGjHemzEH",224293,"FALSE","69","contemporary country","country","country road","modern country rock","contemporary country"
"295",96,"Somethin' 'Bout A Truck","Kip Moore",2012,0.554,0.794,11,-5.417,1,0.035,0.0697,0,0.63,0.79,176,"6Ymvlzom4TQeoKqAWsZRD8",213827,"FALSE","68","contemporary country","country","country pop","country road","modern country rock"
"296",97,"Adorn","Miguel",2012,0.625,0.576,11,-5.693,0,0.175,0.0543,0,0.187,0.235,179,"25cUhiAod71TIQSNicOaW3",193147,"FALSE","66","dance pop","pop","r&b","urban contemporary","dance pop"
"297",98,"Fly Over States","Jason Aldean",2012,0.487,0.736,7,-3.269,1,0.0326,0.069,0,0.114,0.184,82,"17X2tSzibD9n9QRjdExcWT",218200,"FALSE","60","contemporary country","country","country road","contemporary country","country"
"298",99,"Even If It Breaks Your Heart","Eli Young Band",2012,0.495,0.527,0,-4.742,1,0.0351,2e-04,0.0163,0.1,0.574,208,"0Nu9WA8kEbBWEsay2s8Q0U",220520,"FALSE","66","contemporary country","country","country road","heartland rock","modern country rock"
"299",100,"Burn It Down","Linkin Park",2012,0.585,0.972,9,-4.45,0,0.0534,0.0143,0,0.0707,0.585,110,"7oVEtyuv9NBmnytsCIsY5I",230253,"FALSE","73","alternative metal","nu metal","post-grunge","rap metal","alternative metal"
"300",1,"Thrift Shop","Macklemore  Ryan Lewis Wanz",2013,0.781,0.526,6,-6.986,0,0.293,0.0633,0,0.0457,0.665,95,"7bYZBVrnRfqeaPbhRyEvK3",235613,"TRUE","76","pop","pop rap","seattle hip hop","pop","pop rap"
"301",2,"Blurred Lines","Robin Thicke T.I. + Pharrell",2013,0.808,0.81,7,-7.773,1,0.046,0.0066,0.127,0.0839,0.969,120,"0qSSyCuvxr4OD9bKAQNdS7",259992,"FALSE","0","modern rock","rock","modern rock","rock","modern rock"
"302",3,"Radioactive","Imagine Dragons",2013,0.448,0.784,9,-3.686,1,0.0627,0.106,1e-04,0.668,0.236,136,"4G8gkOterJn0Ywt6uhqbhp",186813,"FALSE","72","bass trap","electro house","electronic trap","vapor twitch","bass trap"
"303",4,"Harlem Shake","Baauer",2013,0.452,0.794,0,-5.151,1,0.0483,0.0111,0.0018,0.416,0.282,138,"01XFgRZfZI7oBagNf1Loml",196664,"FALSE","59","dance pop","pop","pop dance","pop rap","seattle hip hop"
"304",5,"Can't Hold Us","Macklemore  Ryan Lewis Ray Dalton",2013,0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146,"3bidbhpOYeV4knp8AIu8Xn",258343,"FALSE","83","dance pop","pop","dance pop","pop","dance pop"
"305",6,"Mirrors","Justin Timberlake",2013,0.574,0.512,5,-6.664,0,0.0503,0.234,0,0.0946,0.512,77,"4rHZZAmHpZrA3iH5zx8frV",484147,"FALSE","81","dance pop","pop","post-teen pop","dance pop","pop"
"306",7,"Just Give Me A Reason","P!nk Nate Ruess",2013,0.778,0.547,2,-7.273,1,0.0489,0.346,3e-04,0.132,0.441,95,"1mKXFLRA179hdOWQBwUk9e",242733,"FALSE","81","pop","pop","pop","pop","pop"
"307",8,"When I Was Your Man","Bruno Mars",2013,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,73,"0nJW01T7XtvILxQgC5J7Wh",213827,"FALSE","83","contemporary country","country","country pop","country road","modern country rock"
"308",9,"Cruise","Florida Georgia Line Nelly",2013,0.525,0.915,0,-4.351,0,0.0789,0.0156,0,0.66,0.623,149,"0jHSdjxn9LfzNL0WkDu93W",208787,"FALSE","55","dance pop","pop","pop dance","post-teen pop","dance pop"
"309",10,"Roar","Katy Perry",2013,0.554,0.772,7,-4.821,0,0.0418,0.0049,0,0.354,0.455,180,"6F5c58TMEs1byxUstkzVeM",223546,"FALSE","75","pop","pop","pop","pop","pop"
"310",11,"Locked Out Of Heaven","Bruno Mars",2013,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,144,"3w3y8KPTfNeOKPiqUTakBh",233478,"FALSE","82","folk-pop","modern rock","pop","stomp and holler","folk-pop"
"311",12,"Ho Hey","The Lumineers",2013,0.685,0.466,0,-9.074,1,0.0304,0.794,0,0.0915,0.353,80,"0W4Kpfp1w2xkY3PrV714B7",163133,"FALSE","71","barbadian pop","dance pop","pop","pop dance","post-teen pop"
"312",13,"Stay","Rihanna Mikky Ekko",2013,0.621,0.31,9,-10.164,0,0.0283,0.945,1e-04,0.117,0.125,112,"1dEy9Pl81QopSxNsPxXQxv",240707,"FALSE","67","electro","filter house","electro","filter house","electro"
"313",14,"Get Lucky","Daft Punk Pharrell Williams",2013,0.794,0.811,6,-8.966,0,0.038,0.0426,0,0.101,0.862,116,"2Foc5Q5nqNiosCNqttzHof",248413,"FALSE","80","art pop","dance pop","electropop","metropopolis","nz pop"
"314",15,"Royals","Lorde",2013,0.674,0.428,7,-9.504,1,0.122,0.121,0,0.132,0.337,85,"2dLLR6qlu5UJ5gk0dKz0h3",190185,"FALSE","76","dance pop","pop","pop dance","dance pop","pop"
"315",16,"I Knew You Were Trouble.","Taylor Swift",2013,0.622,0.469,3,-6.798,0,0.0363,0.0045,0,0.0398,0.679,77,"72jCZdH0Lhg93z6Z4hBjgj",217973,"FALSE","67","dance pop","pop","pop dance","post-teen pop","dance pop"
"316",17,"We Can't Stop","Miley Cyrus",2013,0.613,0.622,1,-5.794,0,0.0334,0.0088,0,0.37,0.484,80,"2y4lAQpi5VTNLu2ldeTdUH",231240,"FALSE","78","dance pop","pop","pop dance","post-teen pop","dance pop"
"317",18,"Wrecking Ball","Miley Cyrus",2013,0.53,0.422,5,-6.262,1,0.0342,0.407,0,0.107,0.349,120,"2vwlzO0Qp8kfEtzTsCXfyE",221360,"FALSE","76","dance pop","edm","pop","pop dance","dance pop"
"318",19,"Wake Me Up!","Avicii",2013,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124,"0nrRP2bk19rLc0orkWPQk2",247427,"FALSE","84","dance pop","pop","dance pop","pop","dance pop"
"319",20,"Suit & Tie","Justin Timberlake JAY Z",2013,0.795,0.596,11,-3.799,0,0.219,0.103,0,0.164,0.357,102,"6vt0I1cw1YmAIKDJvHVIM5",326280,"TRUE","67","hollywood","show tunes","hollywood","show tunes","hollywood"
"320",21,"Cups (Pitch Perfect's When I'm Gone)","Anna Kendrick",2013,0.878,0.455,0,-8.845,1,0.077,0.0462,0.0048,0.0353,0.79,130,"6mH3qVIeOsnQIAho5eWwhH",128013,"FALSE","59","east coast hip hop","hip hop","pop rap","rap","east coast hip hop"
"321",22,"Holy Grail","Jay Z Justin Timberlake",2013,0.676,0.534,2,-6.901,0,0.0831,0.0594,0,0.256,0.156,145,"37jTPJgwCCmIGMPB45jrPV",338413,"TRUE","63","dance pop","pop","pop dance","pop rap","post-teen pop"
"322",23,"Scream & Shout","will.i.am  Britney Spears",2013,0.772,0.685,5,-6.849,1,0.0696,0.019,1e-04,0.131,0.501,130,"2iJuuzV8P9Yz0VSurttIV5",283400,"TRUE","78","complextro","dance pop","edm","electro house","electropop"
"323",24,"Clarity","Zedd Foxes",2013,0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,"60wwxj6Dd9NJlirf84wr2c",271427,"FALSE","74","indie rock","la indie","modern alternative rock","modern rock","pop rock"
"324",25,"Sail","AWOLNATION",2013,0.825,0.435,1,-9.582,1,0.0568,0.452,0.609,0.0953,0.243,119,"5xhQChGGhKLWqBqX4XhtYE",259102,"FALSE","75","dance pop","edm","electro house","pop","pop dance"
"325",26,"Don't You Worry Child","Swedish House Mafia John Martin",2013,0.612,0.84,11,-3.145,0,0.0509,0.112,0,0.116,0.438,129,"2V65y3PX4DkRhy1djlxd9p",212862,"FALSE","78","barbadian pop","dance pop","pop","pop dance","post-teen pop"
"326",27,"Diamonds","Rihanna",2013,0.564,0.71,11,-4.92,0,0.0461,0.0013,0,0.109,0.393,92,"1z9kQ14XBSN0r2v6fx4IdG",225147,"FALSE","67","candy pop","dance pop","edm","electropop","metropopolis"
"327",28,"I Love It","Icona Pop Charli XCX",2013,0.711,0.906,8,-2.671,1,0.0284,0.0095,0,0.153,0.824,126,"6HZ9VeI5IRFCNQLXhpF4bq",157153,"TRUE","67","alternative dance","metropopolis","modern rock","alternative dance","metropopolis"
"328",29,"Safe And Sound","Capital Cities",2013,0.655,0.819,0,-4.852,1,0.0316,2e-04,0.0037,0.104,0.766,118,"6Z8R6UsFuGXGtiIxiD8ISb",192790,"FALSE","80","pop","pop","pop","pop","pop"
"329",30,"Treasure","Bruno Mars",2013,0.874,0.692,5,-5.28,0,0.0431,0.0412,1e-04,0.324,0.937,116,"55h7vJchibLdUkxdlX3fK7",178560,"TRUE","77","dance pop","pop","post-teen pop","dance pop","pop"
"330",31,"The Way","Ariana Grande Mac Miller",2013,0.645,0.877,5,-3.208,0,0.113,0.294,0,0.0759,0.861,82,"06EL94D0TA27Ik0Ke5usbj",227027,"FALSE","68","canadian hip hop","canadian pop","hip hop","pop rap","rap"
"331",32,"Started From The Bottom","Drake",2013,0.793,0.524,8,-7.827,1,0.156,0.0319,0,0.156,0.579,86,"5DI9jxTHrEiFAhStG7VA8E",174133,"TRUE","66","dance pop","pop","pop dance","post-teen pop","dance pop"
"332",33,"Come & Get It","Selena Gomez",2013,0.546,0.787,7,-4.1,0,0.0517,0.0101,2e-04,0.0809,0.573,80,"6LoQHIo74tOzQ8EsLEkhgF",231987,"FALSE","69","canadian hip hop","canadian pop","hip hop","pop rap","rap"
"333",34,"Hold On, We're Going Home","Drake Majid Jordan",2013,0.777,0.414,6,-7.44,0,0.0946,0.0042,0,0.0724,0.287,100,"2aSC2xhRxOLiiZZVjhbylH",227880,"FALSE","70","pop","pop rock","pop","pop rock","pop"
"334",35,"Daylight","Maroon 5",2013,0.657,0.679,2,-5.511,1,0.0269,0.0025,0,0.211,0.331,120,"6TwfdLbaxTKzQi3AgsZNzx",225307,"FALSE","58","dance pop","latin","miami hip hop","pop","pop dance"
"335",36,"Feel This Moment","Pitbull Christina Aguilera",2013,0.673,0.758,7,-3.632,1,0.158,0.039,0,0.341,0.542,136,"0Hf4aIJpsN4Os2f0y0VqWl",229507,"FALSE","74","dance pop","pop","pop dance","dance pop","pop"
"336",37,"Applause","Lady Gaga",2013,0.669,0.78,7,-4.287,0,0.053,0.0265,0,0.143,0.738,140,"5ka2ajep9OAvU5Sgduhiex",212333,"FALSE","72","pop","pop rock","pop","pop rock","pop"
"337",38,"One More Night","Maroon 5",2013,0.718,0.82,5,-3.453,0,0.0323,0.0444,0,0.0846,0.613,93,"4XNrMwGx1SqP01sqkGTDmo",219467,"FALSE","67","hip hop","new orleans rap","pop rap","rap","trap"
"338",39,"Love Me","Lil Wayne Drake  Future",2013,0.674,0.608,8,-6.628,0,0.0334,0.0119,0,0.103,0.464,125,"7tGlzXJv6GD5e5qlu5YmDg",253440,"TRUE","69","emo","modern rock","pop punk","emo","modern rock"
"339",40,"My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy",2013,0.558,0.924,9,-4.341,0,0.064,0.0271,0,0.537,0.567,152,"7s0lDK7y3XLmI7tcsRAbW0",186827,"FALSE","66","east coast hip hop","hip hop","rap","trap","east coast hip hop"
"340",41,"F**kin Problems","A$AP Rocky Drake 2 Chainz  Kendrick Lamar",2013,0.853,0.693,1,-6.87,1,0.275,0.0239,0,0.11,0.662,96,"4X5f3vT8MRuXF68pfjNte5",233787,"TRUE","76","canadian pop","pop","post-teen pop","canadian pop","pop"
"341",42,"Beauty And A Beat","Justin Bieber Nicki Minaj",2013,0.602,0.843,0,-4.831,1,0.0593,7e-04,1e-04,0.0682,0.526,128,"190jyVPHYjAqEaOGmMzdyk",227987,"FALSE","72","dance pop","pop","pop dance","pop rap","seattle hip hop"
"342",43,"Same Love","Macklemore  Ryan Lewis Mary Lambert",2013,0.688,0.473,8,-9.059,1,0.167,0.716,0,0.104,0.299,85,"01uqI4H13Gsd8Lyl1EYd8H",318525,"FALSE","67","dance pop","edm","electro house","house","pop"
"343",44,"Sweet Nothing","Calvin Harris Florence Welch",2013,0.573,0.929,8,-3.942,0,0.109,0.197,1e-04,0.0567,0.582,128,"24LS4lQShWyixJ0ZrJXfJ5",212560,"FALSE","72","art pop","dance pop","pop","art pop","dance pop"
"344",45,"Summertime Sadness","Lana Del Rey  Cedric Gervais",2013,0.572,0.81,1,-5.791,0,0.0558,0.0157,0,0.13,0.11,126,"6PUIzlqotEmPuBfjbwYWOB",214912,"FALSE","73","folk-pop","modern rock","neo mellow","pop rock","folk-pop"
"345",46,"Home","Phillip Phillips",2013,0.606,0.826,0,-6.04,1,0.0307,0.0256,0,0.117,0.322,121,"4rsW3WCZBGwhHfJWuHRwyT",210173,"FALSE","67","modern rock","rock","modern rock","rock","modern rock"
"346",47,"It's Time","Imagine Dragons",2013,0.656,0.884,2,-4.748,1,0.0372,0.0162,0,0.145,0.86,105,"6BtmXhTJMM9sBTHeYYASGz",237987,"FALSE","67","conscious hip hop","hip hop","north carolina hip hop","rap","conscious hip hop"
"347",48,"Power Trip","J. Cole Miguel",2013,0.667,0.608,1,-7.054,1,0.216,0.324,2e-04,0.426,0.475,100,"2uwnP6tZVVmTovzX5ELooy",241160,"TRUE","73","hip pop","neo soul","pop","r&b","urban contemporary"
"348",49,"Girl On Fire","Alicia Keys Nicki Minaj",2013,0.554,0.808,9,-5.943,1,0.305,0.0876,0.004,0.147,0.337,93,"3XyMPyuWwHcGMvXeJY6Qt0",270720,"FALSE","57","dance pop","pop","pop dance","post-teen pop","dance pop"
"349",50,"Heart Attack","Demi Lovato",2013,0.504,0.785,8,-4.802,1,0.104,0.0738,0,0.239,0.502,174,"1V6gIisPpYqgFeWbMLI0bA",210840,"FALSE","76","pop","pop rock","pop","pop rock","pop"
"350",51,"Love Somebody","Maroon 5",2013,0.675,0.792,1,-6.303,1,0.0368,0.145,0,0.12,0.395,120,"0HnaqUxvHP5LaWdmWwJpiS",229813,"FALSE","58","modern folk rock","modern rock","pop rock","stomp and holler","uk americana"
"351",52,"I Will Wait","Mumford  Sons",2013,0.48,0.756,1,-5.399,1,0.0333,0.0099,0.007,0.312,0.447,131,"0hm8rgOY17z7kQJlqGKbu7",276720,"FALSE","69","dance pop","pop","post-teen pop","dance pop","pop"
"352",53,"Try","P!nk",2013,0.673,0.629,2,-7.072,1,0.0299,0.0014,0,0.0944,0.551,104,"1jF7IL57ayN4Ity3jQqGu0",247907,"FALSE","75","contemporary country","country","country road","modern country rock","contemporary country"
"353",54,"Wagon Wheel","Darius Rucker",2013,0.537,0.66,9,-7.174,1,0.0296,0.455,0,0.135,0.574,148,"3xdjjKMcMOFgo1eQrfbogM",298373,"FALSE","76","k-pop","k-rap","korean old school hip hop","k-pop","k-rap"
"354",55,"Gangnam Style","PSY",2013,0.727,0.937,11,-2.871,0,0.286,0.0042,0,0.091,0.749,132,"03UrZgTINDqvnUMbbIMhql",219493,"FALSE","72","dance pop","edm","electro house","house","pop"
"355",56,"I Need Your Love","Calvin Harris Ellie Goulding",2013,0.695,0.869,8,-5.066,1,0.0483,0.41,0,0.237,0.58,125,"05SBRd4fXgn8FX7bf8BCAE",234507,"FALSE","71","dance pop","electropop","pop","pop dance","post-teen pop"
"356",57,"Die Young","Ke$ha",2013,0.711,0.7,1,-4.805,0,0.046,0.005,1e-04,0.215,0.801,128,"7EQGXaVSyEDsCWKmUcfpLk",211920,"FALSE","77","baroque pop","metropopolis","modern rock","pop","pop rock"
"357",58,"Some Nights","fun.",2013,0.672,0.738,0,-7.045,1,0.0506,0.0178,1e-04,0.0927,0.392,108,"6t6oULCRS6hnI7rm0h5gwl",277040,"TRUE","71","dance pop","gangster rap","hip hop","pop","pop rap"
"358",59,"Bad","Wale  Rihanna",2013,0.807,0.702,6,-6.594,0,0.0748,0.307,0,0.111,0.447,114,"5yhKaacMZGRo4s6evJx9vk",238827,"TRUE","60","contemporary country","country","country road","oklahoma country","contemporary country"
